                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.67704,                0.74459,                 1.1077,                0.77777,                0.71922,                0.69998,                0.51566,                 1.3065,                 1.4222,                 1.5815,              0.0006603,              0.0006603,              0.0006603
                     63,                0.72992,                0.77445,                 1.1286,                0.78835,                0.69036,                0.69467,                0.49589,                 1.2253,                 1.3877,                 1.5446,              0.0006438,              0.0006438,              0.0006438
                     64,                0.68315,                0.75296,                  1.106,                 0.8086,                0.67332,                0.68546,                0.48716,                 1.2451,                 1.3638,                 1.5654,             0.00062729,             0.00062729,             0.00062729
                     65,                0.64683,                0.70769,                  1.095,                0.90589,                0.63761,                0.70784,                0.52104,                 1.2681,                 1.4297,                 1.5777,             0.00061079,             0.00061079,             0.00061079
                     66,                0.65453,                0.74094,                 1.0962,                0.92919,                0.65546,                0.69119,                0.52445,                 1.2148,                 1.3725,                 1.5472,             0.00059429,             0.00059429,             0.00059429
                     67,                0.70748,                0.79409,                 1.1389,                0.87861,                 0.6711,                0.69913,                0.52644,                 1.2072,                 1.3913,                 1.5293,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.6966,                 0.6945,                 1.1102,                0.91902,                0.65546,                0.70522,                0.51008,                 1.2422,                 1.3594,                 1.5637,             0.00056128,             0.00056128,             0.00056128
                     69,                0.67072,                0.75847,                  1.098,                0.92024,                0.60029,                0.69471,                0.50726,                 1.2707,                 1.3743,                 1.5978,             0.00054478,             0.00054478,             0.00054478
                     70,                0.68873,                0.71843,                 1.1093,                0.80918,                0.68254,                0.69459,                0.51097,                 1.2748,                 1.3913,                 1.5948,             0.00052827,             0.00052827,             0.00052827
                     71,                0.71553,                0.69631,                 1.1027,                0.87249,                0.64994,                0.69374,                0.50484,                 1.2347,                  1.408,                 1.5805,             0.00051177,             0.00051177,             0.00051177
                     72,                0.64908,                0.69912,                 1.0932,                0.85287,                0.65338,                0.70095,                 0.4936,                 1.2639,                 1.4407,                 1.5876,             0.00049527,             0.00049527,             0.00049527
                     73,                0.64234,                0.65001,                 1.0874,                0.84837,                0.62223,                0.69508,                0.49482,                 1.2181,                 1.4201,                 1.5289,             0.00047876,             0.00047876,             0.00047876
                     74,                0.65878,                0.76501,                 1.0903,                0.83474,                 0.6603,                0.68764,                0.51531,                 1.1151,                  1.366,                 1.4624,             0.00046226,             0.00046226,             0.00046226
                     75,                0.61785,                0.71102,                  1.059,                0.83876,                0.65546,                0.68742,                0.50768,                 1.1653,                 1.3687,                 1.5066,             0.00044576,             0.00044576,             0.00044576
                     76,                0.61177,                0.68577,                 1.0779,                0.79779,                0.66878,                 0.7073,                0.53133,                 1.2023,                 1.3311,                 1.5302,             0.00042925,             0.00042925,             0.00042925
                     77,                0.61847,                0.64302,                 1.0849,                0.89984,                0.62982,                 0.6988,                0.52298,                 1.1937,                 1.3102,                 1.5146,             0.00041275,             0.00041275,             0.00041275
                     78,                0.62647,                0.63487,                 1.0745,                0.88254,                0.68423,                0.68874,                0.51223,                 1.1979,                 1.3583,                  1.516,             0.00039625,             0.00039625,             0.00039625
                     79,                0.59896,                 0.6214,                  1.061,                0.94954,                0.63761,                0.69225,                0.51787,                 1.2083,                 1.3431,                 1.5284,             0.00037974,             0.00037974,             0.00037974
